2017-11-04 20:24:42,917 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.deployer.kar/4.0.9
2017-11-04 20:24:42,919 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.0.9
2017-11-04 20:24:42,964 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.features.command/4.0.9
2017-11-04 20:24:42,968 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.http.core/4.0.9
2017-11-04 20:24:43,006 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.instance.core/4.0.9
2017-11-04 20:24:43,040 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.jaas.command/4.0.9
2017-11-04 20:24:43,043 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Updating commands for bundle org.apache.karaf.jaas.command/4.0.9
2017-11-04 20:24:43,049 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Updating commands for bundle org.apache.karaf.jaas.command/4.0.9
2017-11-04 20:24:43,067 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.kar.core/4.0.9
2017-11-04 20:24:43,094 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.log.core/4.0.9
2017-11-04 20:24:43,099 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.package.core/4.0.9
2017-11-04 20:24:43,107 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.service.core/4.0.9
2017-11-04 20:24:43,172 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Command registration delayed for bundle org.apache.karaf.shell.commands/4.0.9. Missing dependencies: [org.jledit.EditorFactory]
2017-11-04 20:24:43,589 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.0.9. Missing dependencies: [org.apache.sshd.SshServer]
2017-11-04 20:24:43,594 | INFO  | pool-23-thread-1 | SecurityUtils                    | 163 - org.apache.sshd.core - 0.14.0 | BouncyCastle not registered, using the default JCE provider
2017-11-04 20:24:43,670 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.system.core/4.0.9
2017-11-04 20:24:43,719 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Command registration delayed for bundle org.apache.karaf.web.core/4.0.9. Missing dependencies: [org.apache.karaf.web.WebContainerService]
2017-11-04 20:24:43,768 | INFO  | pool-23-thread-1 | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.shell.ssh/4.0.9
2017-11-04 20:24:44,781 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.shell.commands/4.0.9
2017-11-04 20:24:45,058 | INFO  | pool-25-thread-2 | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.web.core/4.0.9
2017-11-04 20:24:45,112 | INFO  | FelixStartLevel  | Activator                        | 213 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | EventAdmin support enabled, servlet events will be postet to topics.
2017-11-04 20:24:45,125 | INFO  | FelixStartLevel  | Activator                        | 213 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | LogService support enabled, log events will be created.
2017-11-04 20:24:45,138 | INFO  | FelixStartLevel  | Activator                        | 213 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | Pax Web started
2017-11-04 20:24:45,221 | INFO  | FelixStartLevel  | ContextLoaderListener            | 217 - org.springframework.osgi.extender - 1.2.1 | Starting [org.springframework.osgi.extender] bundle v.[1.2.1]
2017-11-04 20:24:45,315 | INFO  | FelixStartLevel  | ExtenderConfiguration            | 217 - org.springframework.osgi.extender - 1.2.1 | No custom extender configuration detected; using defaults...
2017-11-04 20:24:45,320 | INFO  | FelixStartLevel  | TimerTaskExecutor                | 150 - org.apache.servicemix.bundles.spring-context - 3.2.18.RELEASE_1 | Initializing Timer
2017-11-04 20:24:45,322 | INFO  | onfig-2-thread-1 | log                              | 190 - org.eclipse.jetty.util - 9.2.19.v20160908 | Logging initialized @8360ms
2017-11-04 20:24:45,621 | INFO  | onfig-2-thread-1 | JettyFactoryImpl                 | 211 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | SPDY not available, creating standard ServerConnector for Http
2017-11-04 20:24:45,692 | INFO  | onfig-2-thread-1 | JettyServerImpl                  | 211 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | Pax Web available at [0.0.0.0]:[8181]
2017-11-04 20:24:45,721 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-corba (59) [org.apache.cxf.binding.corba.CorbaBindingFactory, org.apache.cxf.binding.corba.wsdl.WSDLExtensionRegister]
2017-11-04 20:24:45,728 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-wsdl (92) [org.apache.cxf.wsdl.WSDLManager]
2017-11-04 20:24:45,749 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-local (85) [org.apache.cxf.transport.local.LocalTransportFactory]
2017-11-04 20:24:45,752 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-object (60) [org.apache.cxf.binding.object.ObjectBindingFactory]
2017-11-04 20:24:45,803 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-soap (61) [org.apache.cxf.binding.soap.SoapBindingFactory, org.apache.cxf.binding.soap.SoapTransportFactory]
2017-11-04 20:24:45,828 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-xml (62) [org.apache.cxf.binding.xml.XMLBindingFactory, org.apache.cxf.binding.xml.wsdl11.XMLWSDLExtensionLoader]
2017-11-04 20:24:46,003 | INFO  | atures.logging]) | Activator                        | 67 - org.apache.cxf.cxf-rt-features-logging - 3.1.9 | CXF message logging feature disabled
2017-11-04 20:24:46,027 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-features-metrics (68) [org.apache.cxf.metrics.MetricsProvider]
2017-11-04 20:24:46,058 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-policy (89) [org.apache.cxf.ws.policy.PolicyEngine, org.apache.cxf.policy.PolicyDataEngine, org.apache.cxf.ws.policy.AssertionBuilderRegistry, org.apache.cxf.ws.policy.PolicyInterceptorProviderRegistry, org.apache.cxf.ws.policy.PolicyBuilder, org.apache.cxf.ws.policy.PolicyAnnotationListener, org.apache.cxf.ws.policy.attachment.ServiceModelPolicyProvider, org.apache.cxf.ws.policy.attachment.external.DomainExpressionBuilderRegistry, org.apache.cxf.ws.policy.attachment.external.EndpointReferenceDomainExpressionBuilder, org.apache.cxf.ws.policy.attachment.external.URIDomainExpressionBuilder, org.apache.cxf.ws.policy.attachment.wsdl11.Wsdl11AttachmentPolicyProvider, org.apache.cxf.ws.policy.mtom.MTOMAssertionBuilder, org.apache.cxf.ws.policy.mtom.MTOMPolicyInterceptorProvider]
